Depth,Qc,Fc,u
6.56,0.231,0.0002,0.0771
6.57,0.229,-0.0001,0.0781
6.58,0.231,-0.0001,0.0788
6.59,0.232,0,0.08
6.6,0.235,0.0001,0.0812
6.61,0.254,0.0005,0.0829
6.62,0.596,0.0008,0.086
6.63,0.669,0.0011,0.0943
6.64,0.623,0.0011,0.0955
6.65,0.669,0.0016,0.0968
6.66,0.584,0.0024,0.0997
6.67,0.546,0.0026,0.1044
6.68,0.536,0.0027,0.1098
6.69,0.527,0.0027,0.1139
6.7,0.531,0.0032,0.1162
6.71,0.511,0.0039,0.1177
6.72,0.484,0.0045,0.1199
6.73,0.465,0.005,0.122
6.74,0.458,0.0057,0.1232
6.75,0.451,0.0063,0.1255
6.76,0.455,0.0071,0.1278
6.77,0.459,0.0078,0.1266
6.78,0.469,0.008,0.1278
6.79,0.561,0.0081,0.1365
6.8,0.692,0.0081,0.1439
6.81,0.765,0.0081,0.1497
6.82,0.777,0.0081,0.1547
6.83,0.769,0.0079,0.1642
6.84,0.773,0.0077,0.1712
6.85,0.754,0.0077,0.177
6.86,0.746,0.0076,0.1795
6.87,0.744,0.0075,0.1818
6.88,0.742,0.0073,0.1865
6.89,0.738,0.0073,0.1892
6.9,0.715,0.0073,0.1927
6.91,0.7,0.0073,0.1936
6.92,0.688,0.0073,0.1959
6.93,0.661,0.0075,0.1988
6.94,0.634,0.0075,0.2
6.95,0.615,0.0075,0.2016
6.96,0.611,0.0076,0.2027
6.97,0.609,0.0076,0.2025
6.98,0.618,0.0077,0.2043
6.99,0.627,0.0077,0.2124
7,0.665,0.0077,0.2192
7.01,0.68,0.0076,0.2238
7.02,0.696,0.0075,0.2267
7.03,0.696,0.0074,0.2292
7.04,0.698,0.0075,0.2339
7.05,0.7,0.0075,0.2354
7.06,0.711,0.0076,0.2389
7.07,0.719,0.0077,0.2428
7.08,0.727,0.0076,0.2461
7.09,0.746,0.0079,0.2503
7.1,0.777,0.0084,0.2546
7.11,0.827,0.0084,0.2589
7.12,0.823,0.0085,0.2604
7.13,0.815,0.0085,0.2645
7.14,0.803,0.0085,0.2689
7.15,0.803,0.0084,0.2832
7.16,0.803,0.0083,0.2945
7.17,0.803,0.008,0.3018
7.18,0.807,0.0075,0.31
7.19,0.827,0.0073,0.3152
7.2,0.861,0.0072,0.3243
7.21,0.896,0.0071,0.3295
7.22,0.915,0.0071,0.3376
7.23,0.946,0.007,0.3471
7.24,0.95,0.0069,0.3525
7.25,0.996,0.007,0.3554
7.26,1.042,0.0066,0.3636
7.27,1.034,0.0064,0.3717
7.28,1.003,0.0065,0.3897
7.29,0.976,0.0064,0.3938
7.3,0.961,0.0064,0.4021
7.31,0.942,0.0063,0.406
7.32,0.923,0.0062,0.4058
7.33,0.9,0.0062,0.4064
7.34,0.892,0.0062,0.407
7.35,0.888,0.0061,0.4089
