File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_57279.csv,14.5,220,14.5,15.4618,0.0803,0.083,-0.048179554,-0.244889848,-0.053510878,-0.015197717,-0.565000788
SCPT_57279.csv,15,193,15,19.0814,0.1083,0.0673,-0.238125756,-0.43483605,-0.262485072,-0.210677141,-0.744959385
SCPT_57279.csv,15.5,229,15.5,22.4957,0.1391,0.1406,-0.118045133,-0.314755427,-0.15687961,-0.093238657,-0.615978943
SCPT_57279.csv,16,219,16,25.0383,0.1724,0.1156,-0.208019444,-0.404729738,-0.254336029,-0.179948758,-0.697355202
SCPT_57279.csv,16.5,243,16.5,24.3676,0.1799,0.0569,-0.115131336,-0.31184163,-0.152663954,-0.084138093,-0.606485683
SCPT_57279.csv,17,220,17,23.8244,0.1592,0.0438,-0.195446629,-0.392156923,-0.226968834,-0.178478852,-0.69741437
SCPT_57279.csv,17.5,225,17.5,23.6087,0.1734,0.0532,-0.191723651,-0.388433945,-0.216017117,-0.169846357,-0.693315231
SCPT_57279.csv,18,278,18,27.0013,0.2071,0.0589,-0.020509952,-0.217220247,-0.056759211,-0.000232848,-0.513003439
SCPT_57279.csv,18.5,310,18.5,32.1912,0.229,0.0809,0.062354484,-0.13435581,0.004529125,0.067441873,-0.425352806
SCPT_57279.csv,19,264,19,30.6856,0.1943,0.0423,-0.068146745,-0.264857039,-0.119292776,-0.080059099,-0.571007186
SCPT_57279.csv,19.5,255,19.5,1.231,0.0258,0.3345,0.554115449,0.357405155,0.920616887,0.50871275,-0.325992636
SCPT_57279.csv,20,255,20,1.8867,0.0648,0.4867,0.389227263,0.192516969,0.656454821,0.363748768,-0.455278904
SCPT_57346.csv,0.1,55,0.1,1.2286,0.054,0.0041,-0.40542833,-0.602138625,-2.332979703,0.379652696,-0.621858908
SCPT_57346.csv,0.5,65,0.5,2.5463,0.1885,-0.052,-0.701395626,-0.89810592,-1.829416361,-0.109418724,-1.029900299
SCPT_57346.csv,1,80,1,1.571,0.1013,-0.041,-0.423152885,-0.619863179,-1.291128069,0.026611458,-0.913321989
SCPT_57346.csv,1.5,113,1.5,8.822,0.0396,-0.0772,-0.305583939,-0.502294233,-0.581113599,0.088734478,-0.561208998
SCPT_57346.csv,2,134,2,17.8139,0.0947,-0.0704,-0.329900474,-0.526610768,-0.571099207,0.005651214,-0.582085821
SCPT_57346.csv,2.5,134,2.5,9.9,0.0753,-0.0608,-0.28637347,-0.483083764,-0.536589374,0.047235695,-0.604393649
