depth_input,A07-H
8.51,0.174231992
9.01,0.004127901
9.51,0.261257679
10.01,0.147065323
10.51,0.261275863
11.01,0.177374323
11.51,0.299458427
12.01,0.439540293
12.51,-0.063285293
13.01,0.486515942
13.51,-0.015437229
14.01,0.027487461
14.51,-0.174144112
15.01,0.000285809
15.51,0.132393421
16.01,0.175087718
16.51,0.480046235
17.01,1.21678571
17.51,0.563293993
18.01,0.321466422
18.51,0.577502788
19.01,0.479230362
19.51,0.273218684
20.01,0.403554016
20.51,0.389622931
21.01,0.511014224
21.51,0.283280238
22.01,0.324914546
22.51,0.284717114
23.01,0.416803237
23.51,0.329559304
24.01,0.414310095
24.51,0.729686608
25.01,0.49938827
25.51,0.514220293
26.01,0.265806597
26.51,0.298993086
27.01,0.132346878
27.51,0.380842524
28,0.268262647
0.51,-1.001980823
1.01,-0.025443802
1.51,-0.154260144
2.01,0.146208889
2.51,0.106272745
3.01,-0.172602832
3.51,0.781065186
4.01,0.182496882
4.51,0.002501456
5.01,0.06728855
5.51,0.079015297
6.01,-0.02387807
6.51,-0.009028388
7.01,-0.026255914
7.51,-0.028197501
8.01,0.03890884
8.51,0.051468275
9.01,0.006907369
9.51,0.077153332
10.01,0.045713724
10.51,-0.01021506
11.01,-0.087026803
11.51,-0.201842487
12.01,-0.343105705
12.51,-0.299387743
13.01,-0.381983246
